spot	strike	rate	maturity	oprice	type	ivola	date
9865.76	2000	0.00252	0.739726027	7906.6	1	0.97153	2014-12-22
9865.76	2000	0.00252	0.739726027	7906.6	1	0.97153	2014-12-22
9865.76	6000	0.00026	0.068493151	3884.3	1	0.97048	2014-12-22
9865.76	6000	0.00026	0.068493151	3884.3	1	0.97048	2014-12-22
9865.76	4000	0.00081	0.24109589	5889	1	0.91234	2014-12-22
9865.76	4000	0.00081	0.24109589	5889	1	0.91234	2014-12-22
9865.76	1800	0.00329	0.989041096	8111.3	1	0.90645	2014-12-22
9865.76	1800	0.00329	0.989041096	8111.3	1	0.90645	2014-12-22
9865.76	3000	0.00176	0.490410959	6905.8	1	0.90022	2014-12-22
9865.76	3000	0.00176	0.490410959	6905.8	1	0.90022	2014-12-22
9865.76	3100	0.00176	0.490410959	6806.1	1	0.87772	2014-12-22
9865.76	3100	0.00176	0.490410959	6806.1	1	0.87772	2014-12-22
9865.76	2000	0.00329	0.989041096	7911.7	1	0.84975	2014-12-22
9865.76	2000	0.00329	0.989041096	7911.7	1	0.84975	2014-12-22
9865.76	6500	0.00026	0.068493151	3384.9	1	0.83678	2014-12-22
9865.76	6500	0.00026	0.068493151	3384.9	1	0.83678	2014-12-22
9865.76	4500	0.00081	0.24109589	5389.6	1	0.80573	2014-12-22
9865.76	4500	0.00081	0.24109589	5389.6	1	0.80573	2014-12-22
9865.76	2200	0.00329	0.989041096	7712.2	1	0.79938	2014-12-22
9865.76	2200	0.00329	0.989041096	7712.2	1	0.79938	2014-12-22
9865.76	2400	0.00329	0.989041096	7512.8	1	0.75417	2014-12-22
9865.76	2400	0.00329	0.989041096	7512.8	1	0.75417	2014-12-22
9865.76	2600	0.00329	0.989041096	7313.6	1	0.71353	2014-12-22
9865.76	2600	0.00329	0.989041096	7313.6	1	0.71353	2014-12-22
9865.76	5000	0.00081	0.24109589	4890.6	1	0.71198	2014-12-22
9865.76	5000	0.00081	0.24109589	4890.6	1	0.71198	2014-12-22
9865.76	7000	0.00026	0.068493151	2885.5	1	0.71068	2014-12-22
9865.76	7000	0.00026	0.068493151	2885.5	1	0.71068	2014-12-22
9865.76	4000	0.00176	0.490410959	5909.2	1	0.70483	2014-12-22
9865.76	4000	0.00176	0.490410959	5909.2	1	0.70483	2014-12-22
9865.76	5100	0.00081	0.24109589	4790.8	1	0.69426	2014-12-22
9865.76	5100	0.00081	0.24109589	4790.8	1	0.69426	2014-12-22
9865.76	5200	0.00081	0.24109589	4691	1	0.67685	2014-12-22
9865.76	5200	0.00081	0.24109589	4691	1	0.67685	2014-12-22
9865.76	2800	0.00329	0.989041096	7114.4	1	0.67614	2014-12-22
9865.76	2800	0.00329	0.989041096	7114.4	1	0.67614	2014-12-22
9865.76	5300	0.00081	0.24109589	4591.3	1	0.66018	2014-12-22
9865.76	5300	0.00081	0.24109589	4591.3	1	0.66018	2014-12-22
9865.76	5400	0.00081	0.24109589	4491.6	1	0.64376	2014-12-22
9865.76	5400	0.00081	0.24109589	4491.6	1	0.64376	2014-12-22
9865.76	3000	0.00329	0.989041096	6915.3	1	0.64179	2014-12-22
9865.76	3000	0.00329	0.989041096	6915.3	1	0.64179	2014-12-22
9865.76	5500	0.00081	0.24109589	4391.9	1	0.62759	2014-12-22
9865.76	5500	0.00081	0.24109589	4391.9	1	0.62759	2014-12-22
9865.76	7400	0.00026	0.068493151	2486.3	1	0.61594	2014-12-22
9865.76	7400	0.00026	0.068493151	2486.3	1	0.61594	2014-12-22
9865.76	5600	0.00081	0.24109589	4292.3	1	0.61206	2014-12-22
9865.76	5600	0.00081	0.24109589	4292.3	1	0.61206	2014-12-22
9865.76	3200	0.00329	0.989041096	6716.4	1	0.61033	2014-12-22
9865.76	3200	0.00329	0.989041096	6716.4	1	0.61033	2014-12-22
9865.76	7450	0.00026	0.068493151	2436.5	1	0.60483	2014-12-22
9865.76	7450	0.00026	0.068493151	2436.5	1	0.60483	2014-12-22
9865.76	5700	0.00081	0.24109589	4192.7	1	0.59673	2014-12-22
9865.76	5700	0.00081	0.24109589	4192.7	1	0.59673	2014-12-22
9865.76	7500	0.00026	0.068493151	2386.6	1	0.59321	2014-12-22
9865.76	7500	0.00026	0.068493151	2386.6	1	0.59321	2014-12-22
9865.76	4800	0.00176	0.490410959	5112.9	1	0.58329	2014-12-22
9865.76	4800	0.00176	0.490410959	5112.9	1	0.58329	2014-12-22
9865.76	7550	0.00026	0.068493151	2336.8	1	0.58215	2014-12-22
9865.76	7550	0.00026	0.068493151	2336.8	1	0.58215	2014-12-22
9865.76	5800	0.00081	0.24109589	4093.1	1	0.58158	2014-12-22
9865.76	5800	0.00081	0.24109589	4093.1	1	0.58158	2014-12-22
9865.76	3400	0.00329	0.989041096	6517.6	1	0.58109	2014-12-22
9865.76	3400	0.00329	0.989041096	6517.6	1	0.58109	2014-12-22
9865.76	7600	0.00026	0.068493151	2287	1	0.5711	2014-12-22
9865.76	7600	0.00026	0.068493151	2287	1	0.5711	2014-12-22
9865.76	5900	0.00081	0.24109589	3993.6	1	0.567	2014-12-22
9865.76	5900	0.00081	0.24109589	3993.6	1	0.567	2014-12-22
9865.76	7650	0.00026	0.068493151	2237.2	1	0.56007	2014-12-22
9865.76	7650	0.00026	0.068493151	2237.2	1	0.56007	2014-12-22
9865.76	5000	0.00176	0.490410959	4914.1	1	0.55647	2014-12-22
9865.76	5000	0.00176	0.490410959	4914.1	1	0.55647	2014-12-22
9865.76	3600	0.00329	0.989041096	6319.1	1	0.55428	2014-12-22
9865.76	3600	0.00329	0.989041096	6319.1	1	0.55428	2014-12-22
9865.76	6000	0.00081	0.24109589	3894.1	1	0.55255	2014-12-22
9865.76	6000	0.00081	0.24109589	3894.1	1	0.55255	2014-12-22
9865.76	7700	0.00026	0.068493151	2187.4	1	0.54905	2014-12-22
9865.76	7700	0.00026	0.068493151	2187.4	1	0.54905	2014-12-22
9865.76	6100	0.00081	0.24109589	3794.7	1	0.5386	2014-12-22
9865.76	6100	0.00081	0.24109589	3794.7	1	0.5386	2014-12-22
9865.76	7750	0.00026	0.068493151	2137.6	1	0.53804	2014-12-22
9865.76	7750	0.00026	0.068493151	2137.6	1	0.53804	2014-12-22
9865.76	5200	0.00176	0.490410959	4715.4	1	0.53076	2014-12-22
9865.76	5200	0.00176	0.490410959	4715.4	1	0.53076	2014-12-22
9865.76	3800	0.00329	0.989041096	6120.7	1	0.52912	2014-12-22
9865.76	3800	0.00329	0.989041096	6120.7	1	0.52912	2014-12-22
9865.76	7800	0.00026	0.068493151	2087.8	1	0.52703	2014-12-22
9865.76	7800	0.00026	0.068493151	2087.8	1	0.52703	2014-12-22
9865.76	6200	0.00081	0.24109589	3695.4	1	0.5251	2014-12-22
9865.76	6200	0.00081	0.24109589	3695.4	1	0.5251	2014-12-22
9865.76	7850	0.00026	0.068493151	2038.1	1	0.5165	2014-12-22
9865.76	7850	0.00026	0.068493151	2038.1	1	0.5165	2014-12-22
9865.76	6300	0.00081	0.24109589	3596.1	1	0.51168	2014-12-22
9865.76	6300	0.00081	0.24109589	3596.1	1	0.51168	2014-12-22
9865.76	5400	0.00176	0.490410959	4516.8	1	0.50605	2014-12-22
9865.76	5400	0.00176	0.490410959	4516.8	1	0.50605	2014-12-22
9865.76	4000	0.00329	0.989041096	5922.6	1	0.50583	2014-12-22
9865.76	4000	0.00329	0.989041096	5922.6	1	0.50583	2014-12-22
9865.76	7900	0.00026	0.068493151	1988.3	1	0.5055	2014-12-22
9865.76	7900	0.00026	0.068493151	1988.3	1	0.5055	2014-12-22
9865.76	6400	0.00081	0.24109589	3496.9	1	0.49864	2014-12-22
9865.76	6400	0.00081	0.24109589	3496.9	1	0.49864	2014-12-22
9865.76	7950	0.00026	0.068493151	1938.6	1	0.49495	2014-12-22
9865.76	7950	0.00026	0.068493151	1938.6	1	0.49495	2014-12-22
9865.76	6500	0.00081	0.24109589	3397.8	1	0.48596	2014-12-22
9865.76	6500	0.00081	0.24109589	3397.8	1	0.48596	2014-12-22
9865.76	8000	0.00026	0.068493151	1888.9	1	0.48438	2014-12-22
9865.76	8000	0.00026	0.068493151	1888.9	1	0.48438	2014-12-22
9865.76	4200	0.00329	0.989041096	5724.7	1	0.48396	2014-12-22
9865.76	4200	0.00329	0.989041096	5724.7	1	0.48396	2014-12-22
9865.76	5600	0.00176	0.490410959	4318.5	1	0.48261	2014-12-22
9865.76	5600	0.00176	0.490410959	4318.5	1	0.48261	2014-12-22
9865.76	8050	0.00026	0.068493151	1839.3	1	0.47421	2014-12-22
9865.76	8050	0.00026	0.068493151	1839.3	1	0.47421	2014-12-22
9865.76	6600	0.00081	0.24109589	3298.7	1	0.4733	2014-12-22
9865.76	6600	0.00081	0.24109589	3298.7	1	0.4733	2014-12-22
9865.76	8100	0.00026	0.068493151	1789.6	1	0.46359	2014-12-22
9865.76	8100	0.00026	0.068493151	1789.6	1	0.46359	2014-12-22
9865.76	4400	0.00329	0.989041096	5527.1	1	0.46354	2014-12-22
